regiao,uf,macrorregiao_saude,regiao_saude,municipio,sexo,faixa_etaria,cobertura,doses,populacao
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,9-14,0.890084849383082,96090,107956
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,9,0.5332380271622588,9698,18187
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,10,0.9765602613330275,17040,17449
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,11,0.9746499548328816,17263,17712
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,12,0.969836316855532,17716,18267
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,13,0.9386042402826855,17000,18112
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Feminino,14,0.9530418563826869,17373,18229
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,9-14,0.7972929451969011,89123,111782
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,9,0.4368109921712734,8202,18777
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,10,0.8675718762025177,15782,18191
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,11,0.8771662125340599,16096,18350
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,12,0.9589292262559589,18305,19089
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,13,0.8645345393851289,16057,18573
Centro-Oeste,DF,DISTRITO FEDERAL,DISTRITO FEDERAL,530010 - Brasília,Masculino,14,0.7808211892351877,14681,18802
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,9-14,0.8303244071100385,17891,21547
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,9,0.4277254374158815,1589,3715
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,10,0.8579529345052452,3026,3527
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,11,1.020731356176217,3545,3473
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,12,0.9303155006858711,3391,3645
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,13,0.8324280282455188,3065,3682
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Feminino,14,0.9343794579172611,3275,3505
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,9-14,0.7566172578083642,17151,22668
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,9,0.3478260869565217,1400,4025
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,10,0.7213287635117321,2736,3793
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,11,0.9037577723709109,3343,3699
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,12,0.9139757168690261,3538,3871
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,13,0.8579190437381147,3158,3681
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520140 - Aparecida de Goiânia,Masculino,14,0.8268963601000278,2976,3599
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,9-14,1.019522776572668,470,461
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,9,0.5952380952380952,50,84
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,10,1.189189189189189,88,74
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,11,1.192307692307692,93,78
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,12,1.146666666666667,86,75
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,13,0.9375,75,80
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Masculino,14,1.114285714285714,78,70
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,9-14,1.075356415478615,528,491
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,9,0.5595238095238095,47,84
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,10,1.349397590361446,112,83
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,11,1.271428571428571,89,70
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,12,0.9795918367346939,96,98
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,13,1.351351351351351,100,74
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520180 - Aragoiânia,Feminino,14,1.024390243902439,84,82
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,9-14,0.8377777777777778,1131,1350
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,9,0.5022222222222222,113,225
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,10,0.9441860465116279,203,215
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,11,0.8933333333333334,201,225
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,12,0.864,216,250
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,13,0.8634361233480177,196,227
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Feminino,14,0.9711538461538461,202,208
Centro-Oeste,GO,MACRORREGIAO CENTRO SUDESTE,CENTRO SUL,520330 - Bela Vista de Goiás,Masculino,9-14,0.8096987509184423,1102,1361
